2025-05-03 05:39:10 | USER=root | CONTAINER=ALL | ACTION=LIST | RESULT=Listed all containers
2025-05-05 19:18:00 | USER=www-data | CONTAINER=ALL | ACTION=LIST | RESULT=Listed all containers
2025-05-05 19:19:23 | USER=www-data | CONTAINER=code-server | ACTION=STATUS | RESULT=exited
2025-05-05 19:20:14 | USER=www-data | CONTAINER=code-server | ACTION=STATUS | RESULT=exited
2025-05-05 19:22:45 | USER=www-data | CONTAINER=code-server | ACTION=STATUS | RESULT=exited
2025-05-05 19:22:46 | USER=www-data | CONTAINER=code-server | ACTION=STATUS | RESULT=exited
2025-05-05 19:23:10 | USER=www-data | CONTAINER=code-server | ACTION=STATUS | RESULT=exited
2025-05-05 19:24:07 | USER=www-data | CONTAINER=code-server | ACTION=STATUS | RESULT=exited
2025-05-05 19:29:00 | USER=www-data | CONTAINER=code-server | ACTION=STATUS | RESULT=exited
2025-05-05 19:29:04 | USER=www-data | CONTAINER=ALL | ACTION=LIST | RESULT=Listed all containers
2025-05-05 19:29:33 | USER=www-data | CONTAINER=cloudflared_server | ACTION=STATUS | RESULT=running
2025-05-05 19:29:36 | USER=www-data | CONTAINER=cloudflared_server | ACTION=STOP | RESULT=cloudflared_server
2025-05-05 19:30:02 | USER=www-data | CONTAINER=ALL | ACTION=LIST | RESULT=Listed all containers
2025-05-05 19:30:06 | USER=www-data | CONTAINER=cloudflared_server | ACTION=STATUS | RESULT=exited
2025-05-05 19:30:09 | USER=www-data | CONTAINER=cloudflared_server | ACTION=START | RESULT=cloudflared_server
2025-05-05 19:30:52 | USER=www-data | CONTAINER=cloudflared_server | ACTION=STATUS | RESULT=running
2025-05-05 19:30:55 | USER=www-data | CONTAINER=cloudflared_server | ACTION=STOP | RESULT=cloudflared_server
2025-05-05 19:32:59 | USER=www-data | CONTAINER=ALL | ACTION=LIST | RESULT=Listed all containers
2025-05-05 19:33:03 | USER=www-data | CONTAINER=cloudflared_server | ACTION=STATUS | RESULT=exited
2025-05-05 19:33:06 | USER=www-data | CONTAINER=cloudflared_server | ACTION=START | RESULT=cloudflared_server
2025-05-05 19:33:07 | USER=www-data | CONTAINER=cloudflared_server | ACTION=STATUS | RESULT=running
2025-05-05 19:33:14 | USER=www-data | CONTAINER=cloudflared_server | ACTION=STOP | RESULT=cloudflared_server
2025-05-05 19:33:24 | USER=www-data | CONTAINER=cloudflared_server | ACTION=STATUS | RESULT=exited
2025-05-05 19:33:29 | USER=www-data | CONTAINER=ALL | ACTION=LIST | RESULT=Listed all containers
